Город;ID;URL_имя;Категория;Количество
Ростов-на-Дону;1091544;rostov-na-donu;kvartiry;55569
Ростов-на-Дону;1091544;rostov-na-donu;dom;4012
Ростов-на-Дону;1091544;rostov-na-donu;dachi;38
Ростов-на-Дону;1091544;rostov-na-donu;kottedzhi;24
Ростов-на-Дону;1091544;rostov-na-donu;taunhaus;43
Ростов-на-Дону;1091544;rostov-na-donu;zemlya_izhs;1438
Ростов-на-Дону;1091544;rostov-na-donu;zemlya_selhoznaznacheniya;361
Ростов-на-Дону;1091544;rostov-na-donu;zemlya_promnaznacheniya;153
Ростов-на-Дону;1091544;rostov-na-donu;garazhi_m;871
Ростов-на-Дону;1091544;rostov-na-donu;ofisy;587
Ростов-на-Дону;1091544;rostov-na-donu;pomesh;895
Ростов-на-Дону;1091544;rostov-na-donu;sklady;83
Ростов-на-Дону;1091544;rostov-na-donu;magaziny;653
Ростов-на-Дону;1091544;rostov-na-donu;proizvodstvo;62
Сальск;61312;salsk;kvartiry;253
Сальск;61312;salsk;dom;203
Сальск;61312;salsk;dachi;16
Сальск;61312;salsk;kottedzhi;856
Сальск;61312;salsk;taunhaus;317
Сальск;61312;salsk;zemlya_izhs;40
Сальск;61312;salsk;zemlya_selhoznaznacheniya;12
Сальск;61312;salsk;zemlya_promnaznacheniya;4
Сальск;61312;salsk;garazhi_m;9
Сальск;61312;salsk;ofisy;2
Сальск;61312;salsk;pomesh;21
Сальск;61312;salsk;sklady;5
Сальск;61312;salsk;magaziny;13
Сальск;61312;salsk;proizvodstvo;8
Семикаракорск;23884;semikarakorsk;kvartiry;50
Семикаракорск;23884;semikarakorsk;dom;71
Семикаракорск;23884;semikarakorsk;dachi;5
Семикаракорск;23884;semikarakorsk;kottedzhi;4
Семикаракорск;23884;semikarakorsk;taunhaus;168
Семикаракорск;23884;semikarakorsk;zemlya_izhs;42
Семикаракорск;23884;semikarakorsk;zemlya_selhoznaznacheniya;12
Семикаракорск;23884;semikarakorsk;zemlya_promnaznacheniya;6
Семикаракорск;23884;semikarakorsk;garazhi_m;2
Семикаракорск;23884;semikarakorsk;ofisy;3
Семикаракорск;23884;semikarakorsk;pomesh;10
Семикаракорск;23884;semikarakorsk;sklady;2
Семикаракорск;23884;semikarakorsk;magaziny;13
Семикаракорск;23884;semikarakorsk;proizvodstvo;3
Таганрог;257692;taganrog;kvartiry;3623
Таганрог;257692;taganrog;dom;1158
Таганрог;257692;taganrog;dachi;55
Таганрог;257692;taganrog;kottedzhi;8
Таганрог;257692;taganrog;taunhaus;10
Таганрог;257692;taganrog;zemlya_izhs;283
Таганрог;257692;taganrog;zemlya_selhoznaznacheniya;95
Таганрог;257692;taganrog;zemlya_promnaznacheniya;25
Таганрог;257692;taganrog;garazhi_m;134
Таганрог;257692;taganrog;ofisy;88
Таганрог;257692;taganrog;pomesh;148
